teamId,teamName,gender,weapon,lowWinPct,mediumWinPct,highWinPct,lowStrength,mediumStrength,highStrength,lowScore,mediumScore,highScore,prc,spi
76,"University of California, San Diego",Women,Team,0.875,0.8,0.1538,30,40,67.2727,26.25,32,10.3497,4.5,73.0997
8,Cleveland State University,Women,Team,0.5556,0.0833,0,28,41,60,15.5556,0,0,2,17.5556
80,University of the Incarnate Word,Women,Team,0.5,0.0833,0,30.75,40,66,0,0,0,2.5,2.5
4,The Ohio State University,Women,Team,0.8571,0.8333,0.3,27,39.7778,76.1111,23.1429,33.1481,22.8333,4.5,83.6243
22,Stanford University,Men,Team,0.8333,0.8333,0.5,31.2,41.3333,57,26,34.4444,28.5,3.5,92.4444
53,University of Detroit Mercy,Men,Team,0.75,0.0833,0,30.75,41.3333,52.5,23.0625,0,0,2,25.0625
21,"University of California, San Diego",Men,Team,0.8571,0.6667,0.2308,31.7143,42.3333,59.0909,27.1837,28.2222,13.6364,4,73.0423
51,Cleveland State University,Men,Team,0.8,0.1818,0,31.2,41.4545,55,24.96,7.5372,0,2.5,34.9972
11,"Fairleigh Dickinson University, Metropolitan Campus",Women,Team,0.9167,0.3077,0,27.25,39.6923,62,24.9792,12.213,0,2,39.1922
59,University of the Incarnate Word,Men,Team,0.8,0.5,0.1818,31.2,41.3333,55.5556,24.96,20.6667,10.101,3.5,59.2277
47,Wayne State University (Michigan),Women,Team,0.8333,0.6667,0,31.5,39.5556,64.2857,26.25,26.3704,0,2.5,55.1204
83,Denison University,Women,Team,0.9231,0.6875,0,26.5385,39.75,61.25,24.497,27.3281,0,3.5,55.3252
34,The Ohio State University,Men,Team,0.8,0.7778,0.4,31.2,42.6667,61.3043,24.96,33.1852,24.5217,4.5,87.1669
61,Lawrence University,Men,Team,0.8333,0.2857,0.1667,31.5,41.1429,56,26.25,11.7551,9.3333,3.5,50.8384
46,Northwestern University,Women,Team,0.9286,0.9286,0.5385,26,39.1429,70,24.1429,36.3469,37.6923,5,103.1821
33,Wayne State University (Michigan),Men,Team,0.8,0.5556,0,31.2,40.4444,61.8182,24.96,22.4691,0,4,51.4291
13,Tufts University,Women,Team,0.9231,0.6364,0.2308,30.6923,40.7273,63.6364,28.3314,25.9174,14.6853,3,71.934
31,Stevens Institute of Technology,Women,Team,0.7273,0.2727,0,27.5455,41.0909,63.3333,20.0331,11.2066,0,2,33.2397
42,Hunter College,Women,Team,0.6,0.1111,0,30,40.8889,58,18,0,0,1.5,19.5
43,Drew University,Women,Team,0.8667,0.1538,0,28,41.2308,53.3333,24.2667,6.3432,0,2,32.6099
10,Haverford College,Women,Team,0.4286,0.1667,0,27.2143,41.6667,60,11.6633,6.9444,0,1.5,20.1077
19,Yale University,Women,Team,0.8889,0.8889,0.4,30,41.7778,66.25,26.6667,37.1358,26.5,5,95.3025
58,Hunter College,Men,Team,0.5,0.2222,0,30.75,39.1111,55,15.375,8.6914,0,1,25.0664
56,Drew University,Men,Team,0.9167,0.3125,0,30.75,41.25,55,28.1875,12.8906,0,2.5,43.5781
54,Haverford College,Men,Team,0.8571,0.5,0,31.7143,40.4,56.6667,27.1837,20.2,0,3,50.3837
79,Yale University,Men,Team,0.9,0.9,0.6667,30,40.8,61.4286,27,36.72,40.9524,4,108.6724
12,Harvard University,Women,Team,0.8571,0.8571,0.5833,30,41.1429,70,25.7143,35.2653,40.8333,6.5,108.3129
1,Cornell University,Women,Team,0.9091,0.8333,0.5,27.5455,41.3333,60,25.0413,34.4444,30,5,94.4858
55,Harvard University,Men,Team,0.6667,0.5625,0.5625,30,40,60.7143,20,22.5,34.1518,5,81.6518
38,The City College of New York,Women,Team,0,0,0,30,40,0,0,0,0,1,1
92,Denison University,Men,Team,0,0,0,30,40,0,0,0,0,0,0
