teamId,teamName,gender,weapon,lowWinPct,mediumWinPct,highWinPct,lowStrength,mediumStrength,highStrength,lowScore,mediumScore,highScore,prc,spi
22,Stanford University,Men,Epee,0.8,0.6667,0.1667,31.2,41.3333,61,24.96,27.5556,10.1667,3.5,66.1822
22,Stanford University,Men,Foil,0.8333,0.8333,0.5833,30.6,37.3333,59,25.5,31.1111,34.4167,4.5,95.5278
22,Stanford University,Men,Sabre,0.8333,0.6667,0.4286,31,40,58.3333,25.8333,26.6667,25,3.5,81
22,Stanford University,Men,Team,0.8333,0.8333,0.5,31.2,41.3333,57,26,34.4444,28.5,3.5,92.4444
53,University of Detroit Mercy,Men,Epee,0.75,0.1429,0,30.75,41.7143,57.7778,23.0625,0,0,2,25.0625
21,"University of California, San Diego",Men,Epee,0.8333,0.8333,0.4667,31.2,42.3333,60,26,35.2778,28,4.5,93.7778
53,University of Detroit Mercy,Men,Foil,0.6,0.2222,0,30,38.2222,55,18,8.4938,0,2,28.4938
21,"University of California, San Diego",Men,Foil,0.8571,0.7778,0.1875,30.4286,38.6667,59.2857,26.0816,30.0741,11.1161,4,71.2718
53,University of Detroit Mercy,Men,Sabre,0.4286,0.1429,0,30.8571,40.5714,53.3333,13.2245,0,0,2,15.2245
21,"University of California, San Diego",Men,Sabre,0.8889,0.3529,0.3529,31.3333,40.6667,59.3333,27.8519,14.3529,20.9412,4.5,67.646
53,University of Detroit Mercy,Men,Team,0.75,0.0833,0,30.75,41.3333,52.5,23.0625,0,0,2,25.0625
21,"University of California, San Diego",Men,Team,0.8571,0.6667,0.2308,31.7143,42.3333,59.0909,27.1837,28.2222,13.6364,4,73.0423
51,Cleveland State University,Men,Epee,0.8,0.2857,0,31.2,41.7143,61.4286,24.96,11.9184,0,3.5,40.3784
51,Cleveland State University,Men,Foil,0.6,0.3333,0,30.6,39.1111,59.1667,18.36,13.037,0,1.5,32.897
51,Cleveland State University,Men,Sabre,0.75,0.3333,0,31.125,40.4444,57.7778,23.3438,13.4815,0,2,38.8252
51,Cleveland State University,Men,Team,0.8,0.1818,0,31.2,41.4545,55,24.96,7.5372,0,2.5,34.9972
11,"Fairleigh Dickinson University, Metropolitan Campus",Women,Epee,0.9091,0.4167,0,26.4545,40.3333,54.2857,24.0496,16.8056,0,2.5,43.3551
11,"Fairleigh Dickinson University, Metropolitan Campus",Women,Foil,0.7333,0.2222,0,29.8,40.4444,63.3333,21.8533,8.9877,0,2,32.841
11,"Fairleigh Dickinson University, Metropolitan Campus",Women,Sabre,0.9333,0.125,0,21.6,38,57.1429,20.16,0,0,1,21.16
11,"Fairleigh Dickinson University, Metropolitan Campus",Women,Team,0.9167,0.3333,0,27.25,39.3333,60,24.9792,13.1111,0,2,40.0903
59,University of the Incarnate Word,Men,Epee,0.8,0.5,0.0909,31.2,42.6667,60,24.96,21.3333,5.4545,3,54.7479
59,University of the Incarnate Word,Men,Foil,0.8,0.5,0,30.6,38,58.1818,24.48,19,0,2.5,45.98
59,University of the Incarnate Word,Men,Sabre,0.8333,0.6,0.3636,31,41.6,56.6667,25.8333,24.96,20.6061,4.5,75.8994
59,University of the Incarnate Word,Men,Team,0.8,0.5,0.1818,31.2,41.3333,55.5556,24.96,20.6667,10.101,3.5,59.2277
47,Wayne State University (Michigan),Women,Epee,0.8,0.8,0.3,30.75,39.6,62.5,24.6,31.68,18.75,3,78.03
